season,team_id,n_games,dpi_mean_v1,pitch_hat_mean,dpi_v2_stage1_mean
2024,NYY,183,0.4647,0.4301,0.0346
2024,PHI,172,0.29667,0.48549,-0.18881
2024,PIT,167,0.26111,0.37293,-0.11182
2024,SD,171,0.37722,0.46177,-0.08455
2024,SEA,169,0.66762,0.61394,0.05368
2024,SF,169,0.19289,0.33044,-0.13754
2024,STL,168,0.50433,0.37989,0.12444
2024,TB,168,0.45777,0.41515,0.04262
2024,TEX,168,0.64628,0.39236,0.25392
2024,TOR,169,0.63208,0.3929,0.23917
2024,WSH,167,0.27394,0.42453,-0.15059
2025,ATH,167,0.34661,0.52352,-0.17691
2025,ATL,168,0.67689,0.55062,0.12627
2025,AZ,169,0.67495,0.62352,0.05143
2025,BAL,166,0.29842,0.63596,-0.33754
2025,BOS,169,0.55479,0.62174,-0.06696
2025,CHC,173,0.97308,0.66536,0.30773
2025,CIN,169,0.72349,0.62541,0.09808
2025,CLE,170,0.52601,0.6615,-0.1355
2025,COL,169,-0.09227,0.46765,-0.55993
2025,CWS,168,0.61382,0.42314,0.19068
2025,DET,176,0.6956,0.5634,0.13219
2025,HOU,166,0.51664,0.66827,-0.15162
2025,KC,168,0.67167,0.66562,0.00604
2025,LAA,168,0.24002,0.58325,-0.34323
2025,LAD,180,0.75261,0.50164,0.25098
2025,MIA,168,0.80023,0.54331,0.25691
2025,MIL,176,0.77235,0.52186,0.25049
2025,MIN,168,0.32838,0.6195,-0.29112
2025,NYM,167,0.58269,0.52244,0.06025
2025,NYY,175,0.71866,0.66554,0.05312
2025,PHI,172,0.41697,0.7239,-0.30693
2025,PIT,166,0.8291,0.57629,0.25281
2025,SD,171,0.65227,0.64082,0.01146
2025,SEA,179,0.72666,0.64067,0.08599
2025,SF,166,0.38927,0.53826,-0.14899
2025,STL,166,0.63096,0.60843,0.02253
2025,TB,167,0.52152,0.6812,-0.15968
2025,TEX,168,1.00974,0.63797,0.37177
2025,TOR,184,0.73144,0.62013,0.11132
2025,WSH,167,0.44312,0.46304,-0.01992
