season,team_id,game_pk,n_bip,dpi_speed
2015,SF,413682,25,2.126
2015,SD,413681,26,-2.734
2015,CIN,413680,32,1.147
2015,PIT,413680,29,-1.473
2015,WSH,413679,26,3.547
2015,MIN,413678,37,-1.17
2015,MIL,413677,31,1.884
2015,HOU,413676,26,1.437
2015,CWS,413675,32,-1.48
2015,KC,413675,25,0.892
2015,PHI,413674,20,1.793
2015,BOS,413674,25,-0.39
2015,BAL,413673,18,0.239
2015,MIA,413672,23,-0.198
2015,SEA,413671,29,0.768
2015,LAA,413671,26,-0.994
2015,ATH,413670,28,-0.752
2015,LAD,413668,34,-3.244
2015,SD,413668,23,0.223
2015,MIL,413667,33,0.867
2015,COL,413667,24,1.463
2015,TB,413666,25,1.451
2015,BAL,413666,21,0.09
2015,ATL,413665,20,1.901
2015,MIA,413665,34,0.289
2015,LAA,413664,25,2.05
2015,SEA,413664,24,1.462
2015,NYY,413663,22,9.343
2015,ATH,413662,23,3.751
2015,TEX,413662,28,-0.695
2015,SF,413660,28,3.852
2015,AZ,413660,31,-1.018
2015,LAD,413659,19,0.038
2015,CIN,413658,21,4.069
2015,PIT,413658,21,4.781
2015,NYM,413657,21,1.469
2015,DET,413656,25,0.0
2015,MIN,413656,26,0.0
2015,MIL,413655,37,3.305
2015,HOU,413654,22,0.0
2015,KC,413653,25,0.0
2015,CWS,413653,32,0.0
2015,BOS,413652,22,0.0
2015,PHI,413652,26,0.0
2015,BAL,413651,24,0.0
2015,MIA,413650,27,0.0
2015,ATL,413650,24,0.0
2015,SEA,413649,17,0.0
2015,LAA,413649,29,0.0
2015,CHC,413661,25,-0.481
2015,STL,413661,20,4.307
2015,CLE,413980,28,1.655
2015,STL,413967,28,3.45
2015,MIN,413962,36,-4.244
2015,ATL,413958,34,-0.567
2015,TB,413956,27,1.208
2015,TEX,413954,26,2.731
2015,NYM,413951,22,-1.328
2015,HOU,413948,24,1.81
2015,MIN,413947,23,3.074
2015,TOR,413942,25,1.25
2015,SEA,413939,27,-2.289
2015,MIN,413932,29,-1.87
2015,AZ,413931,28,-1.634
2015,MIN,413922,32,4.942
2015,SD,413921,24,2.655
2015,CWS,413920,21,1.248
2015,CLE,413918,29,-2.727
2015,LAA,413912,28,3.131
2015,STL,413911,25,-1.619
2015,PIT,413909,28,1.26
2015,DET,413903,28,0.573
2015,TEX,413897,23,0.448
2015,NYM,413893,29,-3.089
2015,CLE,413888,22,2.129
2015,PHI,413885,20,3.8
2015,WSH,413884,29,0.935
2015,SD,413883,22,2.255
2015,PHI,413880,29,-1.574
2015,PIT,413876,20,-0.698
2015,AZ,413872,27,1.389
2015,ATH,413869,21,2.241
2015,LAD,413865,19,2.928
2015,MIL,413862,22,0.777
2015,TB,413860,27,1.335
2015,MIN,413852,33,1.294
2015,KC,413852,30,-0.527
2015,CIN,413847,24,-4.103
2015,MIL,413847,34,-1.832
2015,PIT,413846,26,-2.924
2015,TB,413845,24,-0.174
2015,COL,413842,35,-6.757
2015,ATH,413841,25,2.673
2015,KC,413839,24,2.612
2015,MIN,413839,30,-0.133
2015,HOU,413838,27,-2.192
2015,CHC,413832,31,-0.425
2015,COL,413826,31,-1.684
2015,LAD,413826,20,1.72
2015,LAA,413819,23,-2.583
2015,CHC,413817,30,2.693
