team_id,season,blup,pipeline
MIN,2016,-0.18433,v2_strip_park_frozen
MIN,2017,0.20323,v2_strip_park_frozen
MIN,2018,-0.03238,v2_strip_park_frozen
MIN,2019,-0.15178,v2_strip_park_frozen
MIN,2020,0.06865,v2_strip_park_frozen
MIN,2021,0.04256,v2_strip_park_frozen
MIN,2022,0.08397,v2_strip_park_frozen
MIN,2023,-0.13725,v2_strip_park_frozen
MIN,2024,-0.18015,v2_strip_park_frozen
MIN,2025,-0.13708,v2_strip_park_frozen
NYM,2015,-0.04558,v2_strip_park_frozen
NYM,2016,-0.13355,v2_strip_park_frozen
NYM,2017,-0.17222,v2_strip_park_frozen
NYM,2018,-0.19627,v2_strip_park_frozen
NYM,2019,-0.22339,v2_strip_park_frozen
NYM,2020,-0.13321,v2_strip_park_frozen
NYM,2021,-0.03302,v2_strip_park_frozen
NYM,2022,-0.16302,v2_strip_park_frozen
NYM,2023,-0.15118,v2_strip_park_frozen
NYM,2024,0.0732,v2_strip_park_frozen
NYM,2025,0.0069,v2_strip_park_frozen
NYY,2015,-0.17653,v2_strip_park_frozen
NYY,2016,-0.20618,v2_strip_park_frozen
NYY,2017,-0.07263,v2_strip_park_frozen
NYY,2018,-0.05499,v2_strip_park_frozen
NYY,2019,-0.13646,v2_strip_park_frozen
NYY,2020,-0.04164,v2_strip_park_frozen
NYY,2021,-0.06951,v2_strip_park_frozen
NYY,2022,0.05721,v2_strip_park_frozen
NYY,2023,0.09867,v2_strip_park_frozen
NYY,2024,0.01383,v2_strip_park_frozen
NYY,2025,0.02864,v2_strip_park_frozen
PHI,2015,-0.13843,v2_strip_park_frozen
PHI,2016,-0.00419,v2_strip_park_frozen
PHI,2017,-0.0548,v2_strip_park_frozen
PHI,2018,-0.20947,v2_strip_park_frozen
PHI,2019,0.05736,v2_strip_park_frozen
PHI,2020,-0.20673,v2_strip_park_frozen
PHI,2021,-0.1724,v2_strip_park_frozen
PHI,2022,-0.1386,v2_strip_park_frozen
PHI,2023,-0.08143,v2_strip_park_frozen
PHI,2024,-0.07775,v2_strip_park_frozen
PHI,2025,-0.14102,v2_strip_park_frozen
PIT,2015,-0.07928,v2_strip_park_frozen
PIT,2016,0.09082,v2_strip_park_frozen
PIT,2017,-0.05434,v2_strip_park_frozen
PIT,2018,-0.08314,v2_strip_park_frozen
PIT,2019,-0.20019,v2_strip_park_frozen
PIT,2020,0.01806,v2_strip_park_frozen
PIT,2021,-0.12156,v2_strip_park_frozen
PIT,2022,-0.10882,v2_strip_park_frozen
