player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
641933,Tyler O'Neill,batter,1.505,1.505,0.0,0.0,0.0,29.0,7.74,1191.0
682829,Elly De La Cruz,batter,1.491,1.491,0.0,0.0,0.0,22.0,0.74,427.0
643396,Isiah Kiner-Falefa,batter,1.484,1.484,0.0,0.0,0.0,29.0,6.71,1589.0
500743,Miguel Rojas,batter,1.483,1.483,0.0,0.0,0.0,35.0,6.4,1475.0
669022,MacKenzie Gore,pitcher,1.478,1.162,0.316,0.0,0.0,25.0,2.23,206.1
687263,Zach Neto,batter,1.475,1.475,0.0,0.0,0.0,23.0,1.56,329.0
595281,Kevin Kiermaier,batter,1.474,1.783,-0.31,0.0,0.0,34.0,8.31,1041.0
621493,Taylor Ward,batter,1.461,1.461,0.0,0.0,0.0,30.0,5.87,1210.0
602104,Ramón Urías,batter,1.455,1.783,-0.328,0.0,0.0,30.0,7.52,1139.0
663898,Brendan Rodgers,batter,1.455,1.455,0.0,0.0,0.0,27.0,5.76,1188.0
643217,Andrew Benintendi,batter,1.448,1.448,0.0,0.0,0.0,29.0,6.12,1680.0
676116,Ryan Noda,batter,1.447,1.702,-0.255,0.0,0.0,28.0,2.18,495.0
663903,Brady Singer,pitcher,1.446,1.446,0.0,0.0,0.0,27.0,4.78,440.4
678662,Ezequiel Tovar,batter,1.444,1.744,-0.3,0.0,0.0,22.0,2.18,650.0
677950,Alek Thomas,batter,1.443,1.443,0.0,0.0,0.0,24.0,2.44,872.0
527048,Martín Pérez,pitcher,1.44,1.72,-0.281,0.0,0.0,33.0,6.07,459.2
664747,Alexis Díaz,pitcher,1.426,1.878,-0.452,0.0,0.0,27.0,4.84,130.3
518876,Merrill Kelly,pitcher,1.423,1.423,0.0,0.0,0.0,35.0,10.18,559.3
641540,Dane Dunning,pitcher,1.414,1.414,0.0,0.0,0.0,29.0,4.52,449.5
666157,Nick Lodolo,pitcher,1.41,0.91,0.5,0.0,0.0,26.0,2.6,137.2
673237,Yainer Diaz,batter,1.409,1.409,0.0,0.0,0.0,25.0,3.12,400.0
671213,Triston Casas,batter,1.407,1.407,0.0,0.0,0.0,24.0,2.34,597.0
665750,Leody Taveras,batter,1.398,1.398,0.0,0.0,0.0,25.0,3.24,1147.0
572122,Kyle Seager,batter,1.382,1.382,0.0,0.0,0.0,36.0,1.9,670.0
649966,Luis Urías,batter,1.382,1.382,0.0,0.0,0.0,27.0,6.02,1231.0
672275,Patrick Bailey,batter,1.381,1.013,0.368,0.0,0.0,25.0,0.84,353.0
656876,Drew Rasmussen,pitcher,1.379,1.638,-0.259,0.0,0.0,28.0,6.07,269.4
663474,Triston McKenzie,pitcher,1.378,1.378,0.0,0.0,0.0,26.0,4.97,338.1
682227,Brandon Williamson,pitcher,1.376,1.376,0.0,0.0,0.0,26.0,1.62,117.0
502110,J. D. Martinez,batter,1.375,1.375,0.0,0.0,0.0,36.0,6.3,1759.0
680777,Ryan Jeffers,batter,1.361,1.361,0.0,0.0,0.0,27.0,4.75,887.0
453286,Max Scherzer,pitcher,1.355,1.355,0.0,0.0,0.0,39.0,14.38,508.2
666624,Christopher Morel,batter,1.343,1.343,0.0,0.0,0.0,25.0,2.47,854.0
641835,Tim Mayza,pitcher,1.336,0.961,0.376,0.0,0.0,32.0,3.72,156.3
641585,J. P. France,pitcher,1.33,1.33,0.0,0.0,0.0,29.0,1.62,139.1
669016,Brandon Marsh,batter,1.325,1.825,-0.5,0.0,0.0,26.0,5.37,1280.0
621121,Lance McCullers,pitcher,1.322,1.712,-0.39,0.0,0.0,30.0,4.75,236.0
621244,José Berríos,pitcher,1.318,1.318,0.0,0.0,0.0,30.0,5.2,556.2
641927,Bailey Ober,pitcher,1.317,1.574,-0.257,0.0,0.0,28.0,5.18,296.3
661403,Emmanuel Clase,pitcher,1.304,1.584,-0.28,0.0,0.0,26.0,6.2,219.6
666134,Nolan Jones,batter,1.302,1.802,-0.5,0.0,0.0,26.0,4.36,518.0
670032,Nicky Lopez,batter,1.301,1.301,0.0,0.0,0.0,29.0,5.96,1307.0
592351,Jon Gray,pitcher,1.287,1.287,0.0,0.0,0.0,32.0,4.55,439.1
605488,Jeffrey Springs,pitcher,1.286,1.286,0.0,0.0,0.0,31.0,4.79,195.3
660688,Keibert Ruiz,batter,1.282,1.282,0.0,0.0,0.0,25.0,3.41,1091.0
673962,Josh Jung,batter,1.278,1.278,0.0,0.0,0.0,26.0,2.65,687.0
677053,Andrew Nardi,pitcher,1.275,0.775,0.5,0.0,0.0,25.0,1.57,72.4
663776,Patrick Sandoval,pitcher,1.272,1.572,-0.3,0.0,0.0,27.0,5.72,379.4
605130,Scott Barlow,pitcher,1.269,1.269,0.0,0.0,0.0,31.0,5.5,216.2
657746,Joe Ryan,pitcher,1.268,1.268,0.0,0.0,0.0,28.0,4.25,336.4
663697,Jonathan India,batter,1.267,1.267,0.0,0.0,0.0,27.0,5.08,1591.0
605137,Josh Bell,batter,1.265,1.265,0.0,0.0,0.0,31.0,5.85,1877.0
657041,Lane Thomas,batter,1.258,1.725,-0.468,0.0,0.0,28.0,5.54,1494.0
656945,Tanner Scott,pitcher,1.249,1.249,0.0,0.0,0.0,29.0,3.9,195.2
664062,Tony Gonsolin,pitcher,1.244,1.244,0.0,0.0,0.0,30.0,5.35,293.4
608566,Germán Márquez,pitcher,1.238,0.895,0.343,0.0,0.0,29.0,3.98,381.2
622761,Jorge Mateo,batter,1.219,1.219,0.0,0.0,0.0,29.0,5.03,1097.0
657656,Ramón Laureano,batter,1.211,1.211,0.0,0.0,0.0,29.0,5.28,1165.0
605280,Clay Holmes,pitcher,1.201,1.201,0.0,0.0,0.0,31.0,4.47,204.2
660162,Yoán Moncada,batter,1.19,1.19,0.0,0.0,0.0,29.0,5.66,1423.0
665795,Edward Cabrera,pitcher,1.187,1.187,0.0,0.0,0.0,26.0,3.7,196.5
680570,Grayson Rodriguez,pitcher,1.186,1.186,0.0,0.0,0.0,24.0,0.9,123.2
641355,Cody Bellinger,batter,1.181,1.681,-0.5,0.0,0.0,28.0,4.49,1502.0
596115,Trevor Story,batter,1.174,1.535,-0.361,0.0,0.0,31.0,7.64,1159.0
663947,Tyler Holton,pitcher,1.164,1.164,0.0,0.0,0.0,28.0,2.99,94.1
665862,Jazz Chisholm,batter,1.15,1.517,-0.367,0.0,0.0,26.0,5.58,1139.0
682626,Francisco Álvarez,batter,1.148,1.148,0.0,0.0,0.0,22.0,0.97,438.0
607259,Nick Martínez,pitcher,1.146,1.146,0.0,0.0,0.0,33.0,2.88,227.2
686217,Sal Frelick,batter,1.133,1.133,0.0,0.0,0.0,24.0,1.14,232.0
656629,Michael Kopech,pitcher,1.13,1.13,0.0,0.0,0.0,28.0,4.35,320.3
607192,Tyler Glasnow,pitcher,1.13,1.13,0.0,0.0,0.0,30.0,4.83,224.2
676477,Garrett Whitlock,pitcher,1.126,1.126,0.0,0.0,0.0,28.0,4.95,230.5
623465,Evan Phillips,pitcher,1.125,1.125,0.0,0.0,0.0,29.0,4.29,145.4
596142,Gary Sánchez,batter,1.117,0.822,0.295,0.0,0.0,31.0,3.57,1179.0
664056,Harrison Bader,batter,1.112,1.112,0.0,0.0,0.0,30.0,5.9,1097.0
686894,Joey Wiemer,batter,1.108,1.108,0.0,0.0,0.0,25.0,0.9,410.0
571771,Enrique Hernández,batter,1.104,1.104,0.0,0.0,0.0,32.0,5.79,1555.0
669373,Tarik Skubal,pitcher,1.097,1.502,-0.405,0.0,0.0,27.0,5.13,346.4
593144,Richard Rodríguez,pitcher,1.094,1.094,0.0,0.0,0.0,34.0,2.06,64.1
679032,Johan Rojas,batter,1.09,1.59,-0.5,0.0,0.0,23.0,2.37,209.0
663554,Casey Mize,pitcher,1.09,1.09,0.0,0.0,0.0,27.0,3.31,160.1
677651,Luis García,pitcher,1.087,1.087,0.0,0.0,0.0,27.0,4.33,361.0
542932,Jon Berti,batter,1.084,1.084,0.0,0.0,0.0,34.0,5.18,1105.0
579328,Yusei Kikuchi,pitcher,1.083,0.583,0.5,0.0,0.0,33.0,2.41,426.3
606303,Joel Payamps,pitcher,1.08,0.798,0.282,0.0,0.0,30.0,3.57,177.4
605135,Chris Bassitt,pitcher,1.074,1.074,0.0,0.0,0.0,35.0,9.81,542.3
650644,Aaron Civale,pitcher,1.064,1.064,0.0,0.0,0.0,29.0,3.83,343.3
622534,Manuel Margot,batter,1.063,1.063,0.0,0.0,0.0,29.0,5.1,1187.0
670280,David Bednar,pitcher,1.056,1.556,-0.5,0.0,0.0,29.0,5.97,178.5
664774,LaMonte Wade,batter,1.055,1.055,0.0,0.0,0.0,30.0,4.33,1162.0
669701,Josh Smith,batter,1.054,0.564,0.491,0.0,0.0,26.0,1.17,485.0
