player_id,name,position,projected_war,marcel_war,statcast_adjustment,tj_adjustment,role_change_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
595345,Steven Okert,pitcher,0.484,0.484,0.0,0.0,0.0,32.0,2.35,146.3,-0.22
608032,Carlos Estévez,pitcher,0.484,0.484,0.0,0.0,0.0,31.0,2.05,180.3,2.15
608348,Carson Kelly,batter,0.48,0.48,0.0,0.0,0.0,29.0,3.08,864.0,0.51
650960,Daniel Duarte,pitcher,0.48,0.08,0.399,0.0,0.0,27.0,0.52,33.4,0.11
614179,José Ruiz,pitcher,0.477,-0.023,0.5,0.0,0.0,29.0,0.87,170.4,0.56
641313,Tim Anderson,batter,0.476,0.476,0.0,0.0,0.0,31.0,4.02,1445.0,-1.34
666974,Yennier Cano,pitcher,0.475,0.475,0.0,0.0,0.0,30.0,1.49,92.0,1.02
676775,Keaton Winn,pitcher,0.474,0.196,0.278,0.0,0.0,26.0,0.31,42.1,-1.08
656546,Jeff Hoffman,pitcher,0.473,0.914,-0.441,0.0,0.0,31.0,3.42,176.3,2.18
676979,Garrett Crochet,pitcher,0.471,0.471,0.0,0.0,0.0,25.0,1.49,68.4,4.05
683146,Brett Baty,batter,0.47,0.135,0.334,0.0,0.0,24.0,-1.0,431.0,0.32
624585,Jorge Soler,batter,0.47,0.47,0.0,0.0,0.0,32.0,1.93,1534.0,1.09
543294,Kyle Hendricks,pitcher,0.469,0.469,0.0,0.0,0.0,34.0,2.35,402.1,-1.54
605347,Jorge López,pitcher,0.468,0.15,0.318,0.0,0.0,31.0,1.04,251.2,0.89
686823,Will Brennan,batter,0.466,0.466,0.0,0.0,0.0,26.0,0.89,511.0,-0.15
643393,Tony Kemp,batter,0.464,0.464,0.0,0.0,0.0,32.0,3.43,1374.0,-0.15
519317,Giancarlo Stanton,batter,0.464,0.187,0.277,0.0,0.0,34.0,3.01,1485.0,0.8
623912,Harold Ramírez,batter,0.462,0.962,-0.5,0.0,0.0,29.0,3.57,1247.0,-0.1
641793,Zack Littell,pitcher,0.46,0.46,0.0,0.0,0.0,28.0,2.06,200.2,2.81
668868,Zack Thompson,pitcher,0.456,0.456,0.0,0.0,0.0,26.0,1.29,100.3,-0.66
608648,Tyler Duffey,pitcher,0.453,-0.047,0.5,0.0,0.0,33.0,0.9,108.1,-0.02
594807,Adam Duvall,batter,0.45,0.877,-0.427,0.0,0.0,35.0,4.39,1287.0,-1.36
642121,Cole Sulser,pitcher,0.449,-0.013,0.462,0.0,0.0,34.0,1.74,102.2,0.43
669065,Kyle Stowers,batter,0.449,-0.051,0.5,0.0,0.0,26.0,-0.44,131.0,-0.43
641656,Ian Hamilton,pitcher,0.443,0.443,0.0,0.0,0.0,29.0,1.52,60.2,0.49
