season,team_id,game_pk,n_bip,actual_outs,expected_outs,n_feature_rows,dpi
2015,ATH,413684,18,14,11.632881789133114,16,2.367
2015,AZ,413682,38,24,25.08287289865061,36,-1.083
2015,SF,413682,25,20,18.011064614732078,25,1.989
2015,SD,413681,26,13,15.903216259398155,26,-2.903
2015,CIN,413680,32,24,23.13051946092524,32,0.869
2015,PIT,413680,29,17,18.287578959586057,28,-1.288
2015,WSH,413679,26,20,16.34230332640294,25,3.658
2015,MIN,413678,37,22,22.987229001507526,36,-0.987
2015,MIL,413677,31,21,18.958188938939514,31,2.042
2015,HOU,413676,26,19,17.50800319383691,24,1.492
2015,CWS,413675,32,18,19.59625354333829,32,-1.596
2015,KC,413675,25,15,14.07857355604399,23,0.921
2015,PHI,413674,20,16,14.162553211034357,19,1.837
2015,BOS,413674,25,17,17.114262573630434,24,-0.114
2015,BAL,413673,18,13,12.828284491581513,18,0.172
2015,MIA,413672,23,17,16.90465015556415,23,0.095
2015,SEA,413671,29,18,17.033066716918068,28,0.967
2015,LAA,413671,26,17,17.993140534805143,26,-0.993
2015,ATH,413670,28,20,20.795969508074414,28,-0.796
2015,LAD,413668,34,21,24.041601225869996,33,-3.042
2015,SD,413668,23,16,15.794307876287064,23,0.206
2015,MIL,413667,33,21,20.00032477749652,33,1.0
2015,COL,413667,24,18,16.53830956906961,24,1.462
2015,TB,413666,25,19,17.606583548349178,24,1.393
2015,BAL,413666,21,16,15.952315004321704,21,0.048
2015,ATL,413665,20,15,13.3237649096603,19,1.676
2015,MIA,413665,34,20,19.75829978997826,32,0.242
2015,LAA,413664,25,23,20.904865749601417,25,2.095
