player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip,actual_war
650490,Yandy Díaz,batter,2.61,2.88,-0.27,32.0,10.06,1733.0,1.6
666129,Braxton Garrett,pitcher,2.593,2.593,0.0,26.0,5.56,284.2,0.11
663457,Lars Nootbaar,batter,2.592,2.592,0.0,26.0,6.5,982.0,1.58
676272,Bobby Miller,pitcher,2.563,2.825,-0.262,25.0,1.96,126.0,-1.87
661395,Jhoan Duran,pitcher,2.551,2.551,0.0,26.0,4.83,134.3,0.22
666185,Dylan Carlson,batter,2.55,2.55,0.0,25.0,5.47,1370.0,-1.17
669456,Shane Bieber,pitcher,2.518,2.518,0.0,29.0,8.0,437.3,0.7
671732,Lawrence Butler,batter,2.516,2.078,0.438,23.0,-0.54,129.0,2.95
669022,MacKenzie Gore,pitcher,2.494,2.177,0.316,25.0,2.23,206.1,0.85
663993,Nathaniel Lowe,batter,2.494,2.781,-0.287,28.0,8.43,2083.0,3.02
656555,Rhys Hoskins,batter,2.49,2.49,0.0,31.0,5.15,1188.0,-0.11
606466,Ketel Marte,batter,2.463,2.82,-0.357,30.0,8.21,1661.0,6.75
680570,Grayson Rodriguez,pitcher,2.447,2.447,0.0,24.0,0.9,123.2,1.62
680977,Brendan Donovan,batter,2.444,2.444,0.0,27.0,5.84,846.0,2.76
686217,Sal Frelick,batter,2.435,2.435,0.0,24.0,1.14,232.0,2.19
621439,Byron Buxton,batter,2.425,2.425,0.0,30.0,9.53,984.0,3.58
671737,Taj Bradley,pitcher,2.423,1.923,0.5,23.0,-0.35,104.2,1.7
666971,Lourdes Gurriel,batter,2.398,2.398,0.0,30.0,7.38,1696.0,1.94
630105,Jake Cronenworth,batter,2.397,2.718,-0.32,30.0,9.51,1898.0,1.91
694497,Evan Carter,batter,2.394,2.894,-0.5,21.0,1.59,147.0,0.7
669302,Logan Gilbert,pitcher,2.39,2.39,0.0,27.0,6.85,500.3,2.95
691026,Masyn Winn,batter,2.387,2.074,0.314,22.0,-0.56,137.0,5.09
666201,Alek Manoah,pitcher,2.37,2.669,-0.3,26.0,7.74,400.4,-0.34
691016,Tyler Soderstrom,batter,2.366,1.866,0.5,22.0,-1.13,138.0,0.47
664034,Ty France,batter,2.352,2.352,0.0,29.0,8.02,1955.0,-0.63
673237,Yainer Diaz,batter,2.35,2.35,0.0,25.0,3.12,400.0,3.11
665750,Leody Taveras,batter,2.339,2.339,0.0,25.0,3.24,1147.0,0.73
663728,Cal Raleigh,batter,2.329,2.329,0.0,27.0,6.73,1156.0,4.64
672695,Geraldo Perdomo,batter,2.325,2.665,-0.34,24.0,2.97,1095.0,3.45
663757,Trent Grisham,batter,2.325,2.325,0.0,27.0,7.62,1652.0,0.39
672275,Patrick Bailey,batter,2.322,1.954,0.368,25.0,0.84,353.0,1.73
680686,Josiah Gray,pitcher,2.315,1.907,0.408,26.0,3.46,377.4,-0.54
694384,Nolan Schanuel,batter,2.299,2.299,0.0,22.0,0.08,132.0,1.21
681217,Chase Silseth,pitcher,2.292,1.792,0.5,24.0,0.37,80.3,-0.19
677053,Andrew Nardi,pitcher,2.29,1.79,0.5,25.0,1.57,72.4,0.0
666624,Christopher Morel,batter,2.284,2.284,0.0,25.0,2.47,854.0,-0.58
607074,Carlos Rodón,pitcher,2.261,2.531,-0.27,31.0,9.47,377.2,1.89
672582,Angel Zerpa,pitcher,2.243,1.743,0.5,24.0,0.76,58.2,0.48
661388,William Contreras,batter,2.236,2.736,-0.5,26.0,6.4,1192.0,4.96
656941,Kyle Schwarber,batter,2.224,1.946,0.278,31.0,6.43,2040.0,3.29
660688,Keibert Ruiz,batter,2.222,2.222,0.0,25.0,3.41,1091.0,0.55
