player_id,name,position,projected_war,marcel_war,statcast_adjustment,age,prior_3yr_war,prior_3yr_pa_or_ip
669387,Carmen Mlodzinski,pitcher,1.586,1.586,0.0,25.0,0.77,36.0
596142,Gary Sánchez,batter,1.582,1.287,0.295,31.0,3.57,1179.0
641585,J. P. France,pitcher,1.57,1.57,0.0,29.0,1.62,139.1
666310,Bo Naylor,batter,1.567,2.067,-0.5,24.0,1.26,238.0
660162,Yoán Moncada,batter,1.567,1.567,0.0,29.0,5.66,1423.0
668715,Spencer Steer,batter,1.567,2.067,-0.5,26.0,2.98,773.0
669477,Casey Schmitt,batter,1.56,1.178,0.382,25.0,-0.43,277.0
665506,Cristian Pache,batter,1.559,1.065,0.493,25.0,-0.96,433.0
664056,Harrison Bader,batter,1.558,1.558,0.0,30.0,5.9,1097.0
668904,Royce Lewis,batter,1.552,2.052,-0.5,25.0,2.72,306.0
666277,George Soriano,pitcher,1.547,1.547,0.0,25.0,0.57,53.0
641927,Bailey Ober,pitcher,1.538,1.794,-0.257,28.0,5.18,296.3
657041,Lane Thomas,batter,1.537,2.005,-0.468,28.0,5.54,1494.0
686668,Brenton Doyle,batter,1.529,1.529,0.0,26.0,0.84,431.0
593423,Frankie Montas,pitcher,1.518,1.251,0.267,31.0,4.79,333.2
608379,Michael Wacha,pitcher,1.518,1.518,0.0,32.0,5.45,388.3
660620,Jonathan Araúz,batter,1.516,1.016,0.5,25.0,-0.73,182.0
664774,LaMonte Wade,batter,1.501,1.501,0.0,30.0,4.33,1162.0
676475,Alec Burleson,batter,1.499,1.019,0.48,25.0,-0.71,400.0
669713,Hayden Wesneski,pitcher,1.495,1.034,0.46,26.0,1.15,122.1
663697,Jonathan India,batter,1.494,1.494,0.0,27.0,5.08,1591.0
545333,Trevor Bauer,pitcher,1.493,1.493,0.0,33.0,3.11,107.2
656945,Tanner Scott,pitcher,1.489,1.489,0.0,29.0,3.9,195.2
657746,Joe Ryan,pitcher,1.488,1.488,0.0,28.0,4.25,336.4
605488,Jeffrey Springs,pitcher,1.487,1.487,0.0,31.0,4.79,195.3
676979,Garrett Crochet,pitcher,1.486,1.486,0.0,25.0,1.49,68.4
686973,Louis Varland,pitcher,1.48,0.98,0.5,26.0,0.95,94.2
607192,Tyler Glasnow,pitcher,1.478,1.478,0.0,30.0,4.83,224.2
608566,Germán Márquez,pitcher,1.478,1.135,0.343,29.0,3.98,381.2
605130,Scott Barlow,pitcher,1.47,1.47,0.0,31.0,5.5,216.2
666721,Max Castillo,pitcher,1.466,1.003,0.462,25.0,-0.35,59.2
676369,Nelson Velázquez,batter,1.464,1.464,0.0,25.0,0.53,385.0
543135,Nathan Eovaldi,pitcher,1.463,1.188,0.275,34.0,8.67,492.3
664913,Seth Brown,batter,1.463,1.184,0.279,31.0,3.73,1240.0
624428,Adam Frazier,batter,1.462,1.462,0.0,32.0,6.55,1725.0
641355,Cody Bellinger,batter,1.461,1.961,-0.5,28.0,4.49,1502.0
666808,Camilo Doval,pitcher,1.46,1.719,-0.258,26.0,3.84,164.6
676914,Davis Schneider,batter,1.456,1.956,-0.5,25.0,1.82,141.0
696285,Jacob Young,batter,1.453,1.953,-0.5,24.0,0.59,121.0
677649,Ezequiel Duran,batter,1.451,1.819,-0.367,25.0,1.33,659.0
608336,Joey Gallo,batter,1.444,1.444,0.0,30.0,5.4,1362.0
622534,Manuel Margot,batter,1.44,1.44,0.0,29.0,5.1,1187.0
663776,Patrick Sandoval,pitcher,1.434,1.734,-0.3,27.0,5.72,379.4
606303,Joel Payamps,pitcher,1.428,1.146,0.282,30.0,3.57,177.4
667755,José Soriano,pitcher,1.423,1.423,0.0,25.0,0.44,42.0
518876,Merrill Kelly,pitcher,1.423,1.423,0.0,35.0,10.18,559.3
572191,Michael Taylor,batter,1.409,1.409,0.0,33.0,8.15,1386.0
669289,Santiago Espinal,batter,1.406,1.406,0.0,29.0,5.04,997.0
686681,Michael Massey,batter,1.403,1.03,0.373,26.0,0.73,655.0
605280,Clay Holmes,pitcher,1.402,1.402,0.0,31.0,4.47,204.2
656557,Tanner Houck,pitcher,1.387,1.387,0.0,28.0,4.46,245.1
663947,Tyler Holton,pitcher,1.384,1.384,0.0,28.0,2.99,94.1
623352,Josh Hader,pitcher,1.372,1.372,0.0,30.0,4.78,171.4
682847,Luis Ortiz,pitcher,1.372,1.372,0.0,25.0,0.61,102.2
623465,Evan Phillips,pitcher,1.365,1.365,0.0,29.0,4.29,145.4
453286,Max Scherzer,pitcher,1.355,1.355,0.0,39.0,14.38,508.2
656629,Michael Kopech,pitcher,1.35,1.35,0.0,28.0,4.35,320.3
665622,Luis Medina,pitcher,1.348,1.348,0.0,25.0,0.18,109.2
