team_id,season,dpi_mean,dpi_total,dpi_std,consistency,extra_base_prevention,n_games,rp_proxy,sum_delta_run_exp_on_def,n_def_games,n_bip_on_def,babip_against,n_bip
MIN,2024,0.177,29.749,1.651,0.3772,0.652,168,8.20099984924309,-8.20099984924309,168,4231.0,0.29511044924298835,4231
NYM,2024,0.566,102.957,1.713,0.3686,0.663,182,6.62499992409721,-6.62499992409721,182,4453.0,0.28064819163926724,4453
NYY,2024,0.472,86.376,1.84,0.3522,0.629,183,25.55599979381077,-25.55599979381077,183,4583.0,0.2804015514487794,4583
PHI,2024,0.311,53.443,1.831,0.3532,0.661,172,12.119999401038513,-12.119999401038513,172,4366.0,0.29544364508393284,4366
PIT,2024,0.282,47.147,1.83,0.3533,0.644,167,-40.5909986149054,40.5909986149054,167,4315.0,0.29840656687590533,4315
SD,2024,0.386,66.055,1.841,0.3519,0.655,171,58.96699979505502,-58.96699979505502,171,4251.0,0.2899975423937085,4251
SEA,2024,0.673,113.815,1.746,0.3642,0.624,169,129.54800105420873,-129.54800105420873,169,4132.0,0.2614876872302615,4132
SF,2024,0.208,35.197,1.715,0.3684,0.678,169,9.701999288750812,-9.701999288750812,169,4214.0,0.30482996550024644,4214
STL,2024,0.516,86.633,1.878,0.3474,0.644,168,3.818000800907612,-3.818000800907612,168,4394.0,0.2939501779359431,4394
TB,2024,0.472,79.323,1.752,0.3634,0.676,168,51.757001406280324,-51.757001406280324,168,4235.0,0.27901785714285715,4235
TEX,2024,0.645,108.314,1.778,0.36,0.657,168,-12.980998338665813,12.980998338665813,168,4275.0,0.2860653723273532,4275
TOR,2024,0.635,107.347,2.033,0.3297,0.633,169,-30.836000607116148,30.836000607116148,169,4315.0,0.2810441571114906,4315
WSH,2024,0.284,47.351,1.786,0.3589,0.679,167,-45.490999061847106,45.490999061847106,167,4417.0,0.3088339222614841,4417
